businessName,phoneNumber,streetaddress,city,state,zipcode,country,address,longitude,latitude,imageUrls,websiteUrl,category,keyword
Saffron Indian Restaurant,(256) 233-1085,12090 County Line Rd,Madison,Alabama,35756,United States,"12090 County Line Rd,Madison,Dane County,Alabama,35756,United States",40.900005,-80.68496,"{""https://drive.google.com/file/d/1C34yanNYyduAy2QdHJtbmfgrtX61runp/view?usp=drivesdk"",""https://drive.google.com/file/d/1m9XSB78Ewr5TLk4o0ZOnT4Sj3J3A1_sA/view?usp=drivesdk"",""https://drive.google.com/file/d/1PX_AXNW_awZQ3bCrFGoHUCVCgczpvadJ/view?usp=drivesdk""}",,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Taj Indian Restaurant,(334) 699-3200,3102 Ross Clark Cir,Dothan,Alabama,36303,United States,"3102 Ross Clark Cir,Dothan,Houston County,Alabama,36303,United States",31.228915,-85.431241,"{""https://drive.google.com/file/d/1XH0jP-cbCk-6G5YuvNltMsLBn3GHscC5/view?usp=drivesdk"",""https://drive.google.com/file/d/1YvMUINOrGZlt-1FsrQfNXs2oQXb6kxex/view?usp=drivesdk"",""https://drive.google.com/file/d/1saQySwDw16j2LYwTyQVCPUsG4l-YA9Hr/view?usp=drivesdk""}",,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Taj Mahal-Authentic Indian Restaurant,(256) 766-3101,110 E Tuscaloosa St,Florence,Alabama,35630,United States,"110 E Tuscaloosa St,Florence,Firenze,Alabama,35630,United States",34.802771,-87.677111,"{""https://drive.google.com/file/d/1WY9zQT7MzxS-QbPxmEjROfldSOKy8SfV/view?usp=drivesdk"",""https://drive.google.com/file/d/1hnHcksx2-rZbd4fc8c_1kxRRbA1nq9xC/view?usp=drivesdk"",""https://drive.google.com/file/d/1gtE0KaTm7ZuNm0GnQ_U99EwJ14ZoYejM/view?usp=drivesdk""}",,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Curry N-A-Hurry,(256) 722-0240,2420 Jordan Ln NW,Huntsville,Alabama,35816,United States,"2420 Jordan Ln NW,Huntsville,Madison County,Alabama,35816,United States",34.755149,-86.638037,"{""https://drive.google.com/file/d/1gqv6OU3bOgdZzlN3dvEre-_aMJrbLxv-/view?usp=drivesdk"",""https://drive.google.com/file/d/1QntCf7J35KrXBSnNXKae80HcBA6XZqXT/view?usp=drivesdk"",""https://drive.google.com/file/d/1ECvVM3b0ZG2yfx5BX65CxiVmN7FsQxA9/view?usp=drivesdk""}",http://www.manta.com/c/mtmsssz/curry-n-a-hurry,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Sitar Indian Cuisine,(205) 345-1419,500 15th St,Tuscaloosa,Alabama,35401,United States,"500 15th St,Tuscaloosa,Tuscaloosa County,Alabama,35401,United States",49.982405,-98.311393,"{""https://drive.google.com/file/d/1kQLH7aoGFGx0Yz441HpkQOIUb5XGmQ2c/view?usp=drivesdk"",""https://drive.google.com/file/d/1P_wlGGOSjCDbWxyStu6mux_4Htg9Pjvi/view?usp=drivesdk"",""https://drive.google.com/file/d/1EbO3lWCmtSiD9agTiJE17u_gOMmxl6j2/view?usp=drivesdk""}",http://www.sitartuscaloosa.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Agave Mexican Restaurant,(251) 345-7484,5556 Old Shell Rd,Mobile,Alabama,36608,United States,"5556 Old Shell Rd,Mobile,Mobile County,Alabama,36608,United States",30.6898967,-88.1711634,"{""https://drive.google.com/file/d/1qdFyFsz1z1LDyvhVmhkEyIhQ_1Guws97/view?usp=drivesdk"",""https://drive.google.com/file/d/1n3DBMMZaOWyrFhxnsV_j1yG0dmhiZKrJ/view?usp=drivesdk"",""https://drive.google.com/file/d/1y0_tgX7H4jbZRfiSj3MBxc02vxyw8hkL/view?usp=drivesdk""}",,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Taj Cafe,(334) 699-3200,3102 Ross Clark Cir,Dothan,Alabama,36303,United States,"3102 Ross Clark Cir,Dothan,Houston County,Alabama,36303,United States",31.2289568,-85.4312563,"{""https://drive.google.com/file/d/1tQ0UYzzkNVCu4WsL9ikHVmXkI-1mmkP5/view?usp=drivesdk"",""https://drive.google.com/file/d/1h_S6Iz7ZbFZ-jn4MDa2Awvk9q6dovHXg/view?usp=drivesdk"",""https://drive.google.com/file/d/1WcCdz4SGVcNNhaAdMlwCe5-8U29ZJ2Jb/view?usp=drivesdk""}",http://www.tajdothan.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Halal Cuisine of India,(251) 341-6171,3674 Airport Blvd,Mobile,Alabama,36608,United States,"3674 Airport Blvd,Mobile,Mobile County,Alabama,36608,United States",29.6450479,-95.3681743,"{""https://drive.google.com/file/d/19D-xoiXK7gyD4AT_HsiD40RrctN5v7lz/view?usp=drivesdk"",""https://drive.google.com/file/d/1n7jYEjF6EENLWDLjxGjAPpOUufsnGkLH/view?usp=drivesdk"",""https://drive.google.com/file/d/1ZJyQn3pYqB33Z1qEveC6ZWUfnPJe5qTx/view?usp=drivesdk""}",,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Yak The Kathmandu Kitchen,(251) 287-0115,3210 Dauphin St,Mobile,Alabama,36606,United States,"3210 Dauphin St,Mobile,Mobile County,Alabama,36606,United States",30.6908701,-88.1204983,"{""https://drive.google.com/file/d/1lb0l5hKPmeoxAVoPGMbtYUv7Z9gtJHAE/view?usp=drivesdk"",""https://drive.google.com/file/d/1vucqKU5pwMDa0K_Xhc5P0-SXCtecki59/view?usp=drivesdk"",""https://drive.google.com/file/d/1i3eIOI2rDJ_bb3V-5ZEofw0qzCgo9mhA/view?usp=drivesdk""}",http://www.thekathmandukitchen.com/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
Bombay Indian Grill,(334) 502-5200,1251 Opelika Rd,Auburn,Alabama,36830,United States,"1251 Opelika Rd,Auburn,Lee County,Alabama,36830,United States",32.6217215,-85.4555811,"{""https://drive.google.com/file/d/1OUZZrnErb6ebQHytCHyft42qSo9JOKoT/view?usp=drivesdk"",""https://drive.google.com/file/d/1PPN8RTlNuAFkUySXcY4G0HWR3NxLx0wr/view?usp=drivesdk"",""https://drive.google.com/file/d/1jbqPvT7DwryiLjQf2-jHTy0XLp286PXw/view?usp=drivesdk""}",http://bombaygrillauburn.us/,Restaurant,"{""Indian restaurant"", "" Indian hotel"", "" Food"", "" khana kajana"", "" Dhaba"", "" Dabhha"", "" Rasoi"", "" Lunch"", "" Dinner"", "" Breakfast"", "" Meal"", "" Chai"", "" Morning breakfast"", "" Briyani"", "" Chole bhature"", "" Rajma chawal"", "" Papad"", "" Indian food""}"
