businessName,phoneNumber,streetaddress,city,state,zipcode,country,address,longitude,latitude,websiteUrl,Image 1,Image 2,Image 3,category
Jazeera Halal Market,(510) 263-9058,"1525 Webster Street, Alameda",Alameda,California,94501,United States,"1525 Webster St, Alameda, CA 94501, USA",37.7741417,-122.2769405,http://www.jazeeramarket.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Grocery/a+1950s+grocery+store.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Grocery/in+a+grocery+store.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Grocery/grocery+collage+poster.png,Grocery
Namaste,,"27131 Aliso Creek Road Ste 150, Aliso Viejo",Aliso Viejo,California,92656,United States,"27131 Aliso Creek Rd Ste 150, Aliso Viejo, CA 92656, USA",33.5675875,-117.7242819,http://www.namastebites.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/_bowl+Grilled+Chicken+Caesar+Salad%2C+gourmet+salad%2C+lunch%2C+flavorful+creation%2C+film+camera%2C+street+food+photography%2C+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+Chicken+Curry%2C+Indian+food+Photography+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Delicious+gyros+fast+food+in+flatbread%2C+lettuce%2C+tomatoes%2C+onions%2C+rolled%2C+isolated%2C+generative+ai.png,Restaurant
Indian Vegetarian Tiffin Service,(916) 743-5024,"7714 Bradshaw Road, Sacramento",Sacramento,California,95829,United States,"7714 Bradshaw Rd, Sacramento, CA 95829, USA",38.4783954,-121.3372461,,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Photo%2C+cleaner%2C+professional+cleaner%2C+on+a+blue+background.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Photo%2C+cleaner%2C+professional+cleaner%2C+on+a+blue+background.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/A+cleaner+at+work.png,Home service
India Appliances,(562) 402-3392,"18634 Pioneer Boulevard, Artesia",Artesia,California,90701,United States,"18634 Pioneer Blvd, Artesia, CA 90701, USA",33.861864,-118.0820072,,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Caucasian+man+uses+vacuum+cleaner+to+keep+living+space+tidy.+Man+with+vacuum+cleaner+in+hand+ensures+home+remaining+tidy+place+to+live.+Vertical+photo.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Caucasian+man+uses+vacuum+cleaner+to+keep+living+space+tidy.+Man+with+vacuum+cleaner+in+hand+ensures+home+remaining+tidy+place+to+live.+Vertical+photo.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Photo%2C+cleaner%2C+professional+cleaner%2C+on+a+blue+background.png,Home service
"Sidhu Truck Line, Inc.",(661) 735-1111,"4711 Commercial Street, Bakersfield",Bakersfield,California,93308,United States,"4711 Commercial St, Bakersfield, CA 93308, USA",35.3803848,-119.0552005,http://www.sidhutruckline.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-alexander-112080889-9739039.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-ibnulharezmi-5410923.jpg,https://apneyyimages.s3.eu-north-1.amazonaws.com/Truck/pexels-robertkso-18468412.jpg,Truck
SK Indian Food,(661) 569-2253,"7500 Rosedale Highway, Bakersfield",Bakersfield,California,93308,United States,"7500 Rosedale Hwy, Bakersfield, CA 93308, USA",35.3844161,-119.0861731,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/_bowl+Grilled+Chicken+Caesar+Salad%2C+gourmet+salad%2C+lunch%2C+flavorful+creation%2C+film+camera%2C+street+food+photography%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+Chicken+Curry%2C+Indian+food+Photography.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/delicious+veg+biryani+on+plate.png,Restaurant
AD Infosystem LLC,(562) 916-3390,"15859 East Edna Place, Irwindale",Irwindale,California,91706,United States,"15859 E Edna Pl, Irwindale, CA 91706, USA",34.0928179,-117.9350698,https://www.adinfosystem.com/contact.html,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/A+cleaner+at+work.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/A+cleaner+at+work.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/home+cleaner/Caucasian+man+uses+vacuum+cleaner+to+keep+living+space+tidy.+Man+with+vacuum+cleaner+in+hand+ensures+home+remaining+tidy+place+to+live.+Vertical+photo.png,Home service
VEC Indian Cuisine,(707) 557-5460,"4380 Sonoma Boulevard, Vallejo",Vallejo,California,94589,United States,"4380 Sonoma Blvd, Vallejo, CA 94589, USA",38.1368748,-122.255063,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/%2C+kerala+appam%2C+top-view%2C+indian+food%2C+gold+plate%2C+photo-realistic.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+chicken+tikka+masala+with+rice+food+dish+%2C+realistic+photo+%2C+high+resolution.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/delicious+veg+momos%2C+scattared%2C+top+view%2C+circle+plate%2C+studio+shot%2C+realistic.webp,Restaurant
Himalayan Flavors,(510) 704-0174,"1585 University Avenue, Berkeley",Berkeley,California,94703,United States,"1585 University Ave, Berkeley, CA 94703, USA",37.8708193,-122.2805162,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/(Image+of+a+plate+filled+with+luscious+Gulab+Jamun+in+a+vibrant+Diwali+setting)%2C+Diwali%2C+Indian+Sweets%2C+DSLR%2C+50mm%2C+Overhead%2C+Golden+Hour%2C+Colorful.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+chicken+tikka+masala+with+rice+food+dish%2C+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Delicious+vegan+Quinoa+Food+Photo%2C+AI+Generative.png,Restaurant
Shehnai Cuisine of India,(714) 990-8989,"705 East Birch Street P, Brea",Brea,California,92821,United States,"705 E Birch St P, Brea, CA 92821, USA",33.9184522,-117.8901057,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/(Image+of+Aloo+Tikki+served+on+a+festive+platter+with+vibrant+chutneys)%2C+Diwali%2C+Indian+Street+Food%2C+DSLR%2C+50mm%2C+Overhead%2C+Golden+Hour%2C+Colorful+(1).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Indian+chicken+tikka+masala+with+rice+food+dish%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Restaurant/Design+a+visually+captivating+AI-generated+image+of+a+Diwali+feast%2C+with+a+table+adorned+with+delicious+sweets+and+traditional+dishes+(1).png,Restaurant
