businessName,phoneNumber,streetaddress,city,state,zipcode,country,address,longitude,latitude,category,websiteUrl,Image 1,Image 2,Image 3
Law offices of Kuldeep Kaur,1 559-512-6691,1233 W Shaw Ave #100,Fresno,California,93711,United States,"1233 W Shaw Ave #100, Fresno, CA 93711, USA",36.8080796,-119.813775,Law,https://www.yourcalawyer.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/%5BAYXP%3D5727-2%5D+Illich%26%23039_s+law.+advertising%2C+infography%2C+ultra+quality%2C+professionnal%2C+image+only%2C+8k.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(5).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/Law+book%2C+housing%2C+energy+law%2C+law+paragraphs%2C+warm+colours.png
Singh Ahluwalia Attorneys at Law,1 559-878-4958,7075 N Chestnut Ave STE 103,Fresno,California,93720,United States,"7075 N Chestnut Ave STE 103, Fresno, CA 93720, USA",36.838767,-119.7375419,Law,https://www.singhahluwalia.com/fresno-personal-injury-lawyer/?utm_source=GBP&utm_medium=Google&utm_campaign=Fresno,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/a+hyper+photo+realistic+image+of+a+law+symbol+on+the+table+with+laptop.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(6).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/Law+firm+background+image+for+arbitration+and+mediation+section%2C+minimalist%2C+elegant%2C+photography+style%2C+branding+style.png
Jaspreet Singh Law Office,1 559-271-5511,1625 E Shaw Ave #122,Fresno,California,93710,United States,"1625 E Shaw Ave #122, Fresno, CA 93710, USA",36.8079861,-119.7578952,Law,https://lawofficeofjaspreetsingh.com/,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/a+reallistic+law+office+for+bankruptcy+law+more+alive.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(7).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(1).png
Singh Ahluwalia Attorneys at Law,1 559-878-4958,7075 N Chestnut Ave STE 103,Fresno,California,93720,United States,"7075 N Chestnut Ave STE 103, Fresno, CA 93720, USA",36.838767,-119.7375419,Law,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/an+image+that+represents+tax+law.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(2).png
Rama's Interpretation,1 559-274-1332,2926 N West Ave,Fresno,California,93705,United States,"2926 N West Ave, Fresno, CA 93705, USA",36.7771736,-119.8262574,Law,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/case+law%2C+law+change%2C+law%2C+image+for+a+blog+post.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/Legal+law+concept+image%2C+extreme+close+up+of+scales+symbol+of+Justice.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(3).png
Joshi Law Firm,1 559-312-0083,516 W Shaw Ave #200,Fresno,California,93704,United States,"516 W Shaw Ave suite 200, Fresno, CA 93704, USA",36.8082796,-119.801765,Law,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/Create+an+image+of+a+law.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/present+card+about+law+and+justice+for+the+day+of+law.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(4).png
Law offices of Kuldeep Kaur,1 559-512-6691,1233 W Shaw Ave #100,Fresno,California,93711,United States,"1233 W Shaw Ave #100, Fresno, CA 93711, USA",36.8080796,-119.813775,Law,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/image+of+a+stack+of+documents+and+a+hand+holding+a+law+book.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/stock+photo+showing+Indian+low+and+jurisdiction+-+Indian+national+flag+or+tricolour+with+wooden+gavel+showing+concept+of+law+in+India.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/a+hyper+photo+realistic+image+of+a+law+symbol+on+the+table+with+laptop.png
Jaspreet Singh Law Office,1 559-271-5511,1625 E Shaw Ave #122,Fresno,California,93710,United States,"1625 E Shaw Ave #122, Fresno, CA 93710, USA",36.8079861,-119.7578952,Law,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/Law+206+of+the+Egyptian+Tax+Law+%5Bid_7483392%5D.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/The+Statue+of+Justice+symbol%2C+legal+law+concept+image%2C+Realistic+Photo%2C+Minimal+Composition%2C+law+theme%2C.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/a+reallistic+law+office+for+bankruptcy+law+more+alive.png
Peter Singh,1 559-256-9800,744 P St Suite 130,Fresno,California,93721,United States,"744 P St Suite 130, Fresno, CA 93721, USA",36.736197,-119.7812257,Law,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/%5BAYXP%3D5727-2%5D+Illich%26%23039_s+law.+advertising%2C+infography%2C+ultra+quality%2C+professionnal%2C+image+only%2C+8k.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(5).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/Law+book%2C+housing%2C+energy+law%2C+law+paragraphs%2C+warm+colours.png
Bal Immigration & Tax services,1 510-890-6495,4221 W Sierra Madre Ave Suite 104,Fresno,California,93722,United States,"4221 W Sierra Madre Ave Suite 104, Fresno, CA 93722, USA",36.806563,-119.867441,Law,,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/a+hyper+photo+realistic+image+of+a+law+symbol+on+the+table+with+laptop.png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/law+office%2C+law%2C+document%2C+table%2C+photographic%2C+realistic%2C+4K+(6).png,https://apneyyimages.s3.eu-north-1.amazonaws.com/Law/Law+firm+background+image+for+arbitration+and+mediation+section%2C+minimalist%2C+elegant%2C+photography+style%2C+branding+style.png
